asset_id,well_name,operator,distance_miles,section_type,bha_number,start_depth,end_depth,run_length,section_start_depth,lateral_start_depth,set_date,num_components,is_rss,has_agitator,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
12095535,Galvan Ranch B922H,SM Energy,9.6,intermediate,3,7905.1,16941.04,9035.9,N/A,N/A,2024-06-26,11,False,True,8.75,pdc,"8.75"" NOV TKC63 G5",NOV,TKC63 G5,A306958,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"7"" KLX 5/6 9.5 Stg",KLX,5/6 9.5 Stg,7,38.7,0.344,N/A,N/A,9.5,N/A,6,13,high,"NOV-TK:TKC63 G5->B6,C3",5/6,mid
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,2,4820,10187.3,5367.3,N/A,N/A,2019-10-24,7,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,47404,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 7/8 6.9",ProDirectional,7/8 6.9,7,34.62,0.25,N/A,N/A,6.9,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",7/8,lo
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,1,112,4820.1,4708.1,N/A,N/A,2019-10-06,10,False,False,12.25,pdc,"12.25"" NOV TK69",NOV,TK69,A265471,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"9.625"" NOV 6/7 50",NOV,6/7 50,9.625,29.65,0.127,N/A,N/A,5,N/A,6,?(9),check,"NOV-TK:TK69->B6,C9",6/7,lo
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,3,10187,10599,412,N/A,N/A,2019-10-26,9,False,True,8.75,pdc,"8.75"" Baker Hughes DD406TS",Baker Hughes,DD406TS,5305105,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.37,0.42,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406TS->C40B6(frac),5/6,mid
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,4,10599,10800.8,201.8,N/A,N/A,2019-10-27,9,False,True,8.75,Tri Cone,"8.75"" Schlumberger XR+",Schlumberger,XR+,RL0562,2.0708740636456158,"[{'size': 30, 'count': 3}]",N/A,N/A,"7"" ProDirectional 7/8 5.0",ProDirectional,7/8 5.0,7,24.99,0.28,N/A,N/A,5,N/A,?,?,unknown,no_match:XR+,7/8,lo
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,intermediate,5,10800,22004,11204,N/A,N/A,2019-10-29,9,False,True,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5304220,1.0354370318228079,"[{'size': 15, 'count': 6}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,29.33,0.42,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,2,4825,10279.4,5454.4,N/A,N/A,2019-11-05,7,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,47536,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional Pro Power 7/8 6.9 stg",ProDirectional,Pro Power 7/8 6.9 stg,7,34.55,0.25,N/A,N/A,6.9,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",7/8,lo
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,1,102,4825,4723,N/A,N/A,2019-10-08,10,False,False,12.25,pdc,"12.25"" NOV TK69",NOV,TK69,A266416,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"9.625"" NOV 6/7 5.0 stg",NOV,6/7 5.0 stg,9.625,29.65,0.13,N/A,N/A,5,N/A,6,?(9),check,"NOV-TK:TK69->B6,C9",6/7,lo
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,4,18893,21810.1,2917.1,N/A,N/A,2019-11-10,9,False,True,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,48413,2.9728547669223726,"[{'size': 18, 'count': 3}, {'size': 22, 'count': 6}]",N/A,N/A,"7"" ProDirectional Pro Power 5/6 9.4 stg",ProDirectional,Pro Power 5/6 9.4 stg,7,34.65,0.4,N/A,N/A,9.4,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",5/6,mid
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,intermediate,3,10279,18893.7,8614.7,N/A,N/A,2019-11-07,9,False,True,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5305430,1.0354370318228079,"[{'size': 15, 'count': 6}]",N/A,N/A,"7"" ProDirectional Pro Power 5/6 9.4 stg",ProDirectional,Pro Power 5/6 9.4 stg,7,29.25,0.4,N/A,N/A,9.4,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
26355794,Quick Ranch B Pad 3H,Pursuit Oil & Gas,10.5,intermediate,1,492,4940.066,4448.1,N/A,N/A,2021-12-02,10,False,False,12.25,pdc,"12.25"" NOV TK66-AB1",NOV,TK66-AB1,A283051,1.6659031356438063,"[{'size': 18, 'count': 3}, {'size': 20, 'count': 3}]",N/A,N/A,"9.625"" NOV 6/7 5.0",NOV,6/7 5.0,9.625,30.19,0.13,N/A,N/A,5,N/A,6,16,high,"NOV-TK:TK66-AB1->B6,C6",6/7,lo
26355794,Quick Ranch B Pad 3H,Pursuit Oil & Gas,10.5,intermediate,2,4940,10424.28,5484.3,N/A,N/A,2021-12-09,9,False,False,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5320250,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 7/8 6.9",ProDirectional,7/8 6.9,6.75,34.54,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),7/8,lo
26355794,Quick Ranch B Pad 3H,Pursuit Oil & Gas,10.5,intermediate,3,10424.28,22750,12325.7,N/A,N/A,2021-12-11,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5324295,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.57,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
49328895,Quick Ranch B Pad 1H,Pursuit Oil & Gas,10.5,intermediate,1,502,4961.333,4459.3,N/A,N/A,2021-12-06,10,False,False,12.25,pdc,"12.25"" Ulterra U616S",Ulterra,U616S,58268,1.6659031356438063,"[{'size': 18, 'count': 3}, {'size': 20, 'count': 3}]",N/A,N/A,"9.625"" NOV 6/7 5.0",NOV,6/7 5.0,9.625,30.05,0.13,N/A,N/A,5,N/A,6,16,high,"Ulterra-U:U616S->B6,16mm",6/7,lo
49328895,Quick Ranch B Pad 1H,Pursuit Oil & Gas,10.5,intermediate,2,4961,10437.24,5476.2,N/A,N/A,2022-01-10,10,False,False,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5323381,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" ProDirectional 7/8 6.9",ProDirectional,7/8 6.9,7,35.5,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),7/8,lo
49328895,Quick Ranch B Pad 1H,Pursuit Oil & Gas,10.5,intermediate,3,10437,23535.81,13098.8,N/A,N/A,2022-01-13,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5326157,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.57,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
81210538,Quick Ranch B Pad 2H,Pursuit Oil & Gas,10.5,intermediate,1,4910,4910.07,0.1,N/A,N/A,2021-12-05,10,False,False,12.25,pdc,"12.25"" Ulterra U616",Ulterra,U616,57983,1.6659031356438063,"[{'size': 18, 'count': 3}, {'size': 20, 'count': 3}]",N/A,N/A,"9.625"" NOV 6/7 5.0 POB Elastomer",NOV,6/7 5.0 POB Elastomer,9.625,29.97,0.13,N/A,N/A,5,N/A,6,16,high,"Ulterra-U:U616->B6,16mm",6/7,lo
81210538,Quick Ranch B Pad 2H,Pursuit Oil & Gas,10.5,intermediate,2,4910,10235,5325,N/A,N/A,2021-12-22,9,False,False,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5323180,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" ProDirectional ProPower 7/8 6.9",ProDirectional,ProPower 7/8 6.9,7,34.89,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),7/8,lo
81210538,Quick Ranch B Pad 2H,Pursuit Oil & Gas,10.5,intermediate,3,10235,22721,12486,N/A,N/A,2021-12-24,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5326157,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional PPM 5/6 8.2 stg",ProDirectional,PPM 5/6 8.2 stg,7,31.57,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
28415581,Cerrito Julius 62H,Escondido Resources,11.2,intermediate,1,204,4852.02051,4648.0,N/A,N/A,2022-11-03,8,False,False,12.25,pdc,"12.25"" Schlumberger MDSi613",Schlumberger,MDSi613,27761,1.178097245096172,"[{'size': 16, 'count': 6}]",N/A,N/A,"8.688"" MS Directional 7/8 7.0",MS Directional,Hybrid 7/8 7.0,8.688,34.73,0.18,N/A,N/A,7,N/A,6,13,check,"fallback-3dig:MDSi613->B6,13mm",7/8,lo
28415581,Cerrito Julius 62H,Escondido Resources,11.2,intermediate,2,4852,16033.48047,11181.5,N/A,N/A,2022-11-07,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV6274,1.767145867644259,"[{'size': 16, 'count': 9}]",N/A,N/A,"6.938"" BHA 5/6 9.4",BHA,5/6 9.4,6.938,34.74,0.4,N/A,N/A,9.4,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",5/6,mid
28415581,Cerrito Julius 62H,Escondido Resources,11.2,intermediate,3,16033,19929.13477,3896.1,N/A,N/A,2022-11-13,7,False,False,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV4338,2.291767297101148,"[{'size': 22, 'count': 3}, {'size': 16, 'count': 6}]",N/A,N/A,"7"" MS Directional XL Performance 7/8 6.9",MS Directional,XL Performance 7/8 6.9,7,34.75,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,1,118,5175.23,5057.2,N/A,N/A,2022-09-09,9,False,False,12.25,pdc,"12.25"" NOV TK66-AB1",NOV,TK66-AB1,A282327,1.665903135643806,"[{'size': 20, 'count': 3}, {'size': 18, 'count': 3}]",N/A,N/A,"8"" ProDirectional DD800785.9",ProDirectional,DD800785.9,8,37.36,0.155,N/A,N/A,5.9,N/A,6,16,high,"NOV-TK:TK66-AB1->B6,C6",?,lo
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,2,5175,10235.01,5060.0,N/A,N/A,2022-09-11,10,False,False,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5332663,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" ProDirectional DD700786.9",ProDirectional,DD700786.9,7,34.41,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),?,lo
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,3,10235,19550,9315,N/A,N/A,2022-09-12,11,False,True,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5329053,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,7,31.3,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),5/6,mid
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,3.1,19550,19550,0,N/A,N/A,2022-09-17,11,False,True,8.75,pdc,Placeholder BHA,N/A,N/A,N/A,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,Placeholder BHA,N/A,N/A,7,31.3,0.426,N/A,N/A,8.2,N/A,,,,skip,,
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,4,19550,21514.96,1965.0,N/A,N/A,2022-09-17,11,False,True,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,N/A,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" BHA 5/6 8.2",BHA,5/6 8.2,7,31.54,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),5/6,mid
30010489,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,1,110,5185.14,5075.1,N/A,N/A,2022-09-07,9,False,False,12.25,pdc,"12.25"" NOV TK66-AB1",NOV,TK66-AB1,A283050,1.665903135643806,"[{'size': 20, 'count': 3}, {'size': 18, 'count': 3}]",N/A,N/A,"8"" ProDirectional 7/8 5.9",ProDirectional,7/8 5.9,8,37.36,0.155,N/A,N/A,5.9,N/A,6,16,high,"NOV-TK:TK66-AB1->B6,C6",7/8,lo
30010489,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,2,5185,10329.99,5145.0,N/A,N/A,2022-09-23,10,False,False,8.75,pdc,"8.75"" Baker Hughes D506TSWX",Baker Hughes,D506TSWX,5331585,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" ProDirectional 7/8 6.9 stg",ProDirectional,7/8 6.9 stg,7,34.55,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TSWX->C50B6(frac),7/8,lo
30010489,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,intermediate,3,10329,21289.53,10960.5,N/A,N/A,2022-09-29,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5331913,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.56,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
52143617,Santa Cruz-SSS H Unit A 1H,Pursuit Oil & Gas,11.3,intermediate,1,115,5263.06,5148.1,N/A,N/A,2023-08-29,9,False,False,12.25,pdc,"12.25"" NOV TK66-AB2",NOV,TK66-AB2,A295617,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"9.625"" NOV 6/7 5.0",NOV,6/7 5.0,9.625,29.16,0.13,N/A,N/A,5,N/A,6,16,high,"NOV-TK:TK66-AB2->B6,C6",6/7,lo
52143617,Santa Cruz-SSS H Unit A 1H,Pursuit Oil & Gas,11.3,intermediate,2,5263,10464.14,5201.1,N/A,N/A,2023-09-24,8,False,False,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5341435,1.032369070247037,"[{'size': 12, 'count': 7}, {'size': 13, 'count': 2}]",N/A,N/A,"7"" ProDirectional 7/8 6.9 Stg",ProDirectional,7/8 6.9 Stg,7,34.58,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),7/8,lo
52143617,Santa Cruz-SSS H Unit A 1H,Pursuit Oil & Gas,11.3,intermediate,3,10464,22396.03,11932.0,N/A,N/A,2023-09-25,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5332238,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.4 stg",ProDirectional,5/6 8.4 stg,7,34.69,0.35,N/A,N/A,8.4,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
40920782,Santa Cruz-SSS H Unit B 2H,Pursuit Oil & Gas,11.3,intermediate,1,145.81,5130.15,4984.3,N/A,N/A,2023-08-31,8,False,False,12.25,pdc,"12.25"" NOV TK66-AB2",NOV,TK66-AB2,A295616,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"9.625"" NOV 6/7 5.0",NOV,6/7 5.0,9.625,30.02,0.13,N/A,N/A,5,N/A,6,16,high,"NOV-TK:TK66-AB2->B6,C6",6/7,lo
40920782,Santa Cruz-SSS H Unit B 2H,Pursuit Oil & Gas,11.3,intermediate,2,5130,10284.71,5154.7,N/A,N/A,2023-09-14,8,False,False,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5340729,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"7"" ProDirectional 7/8 6.9 stg",ProDirectional,7/8 6.9 stg,7,34.4,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),7/8,lo
40920782,Santa Cruz-SSS H Unit B 2H,Pursuit Oil & Gas,11.3,intermediate,3,10285,10342.72,57.7,N/A,N/A,2023-09-15,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5341878,2.24,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 Stg.",ProDirectional,5/6 8.2 Stg.,6.75,32.28,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
40920782,Santa Cruz-SSS H Unit B 2H,Pursuit Oil & Gas,11.3,intermediate,4,10342,19344.03,9002.0,N/A,N/A,2023-09-16,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5341878,2.24,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,32.28,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
40920782,Santa Cruz-SSS H Unit B 2H,Pursuit Oil & Gas,11.3,intermediate,5,19344,20284.06,940.1,N/A,N/A,2023-09-20,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5341878,2.24,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,31.35,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
15570477,Santa Cruz-SSS H Unit C 3H,Pursuit Oil & Gas,11.3,intermediate,1,97.3,5296.29,5199.0,N/A,N/A,2023-09-02,8,False,False,12.25,pdc,"12.25"" NOV TK66-AB2",NOV,TK66-AB2,A302680,1.334563285460508,"[{'size': 16, 'count': 3}, {'size': 18, 'count': 3}]",N/A,N/A,"9.625"" NOV 6/7 5.0 stg",NOV,6/7 5.0 stg,9.625,30.02,0.13,N/A,N/A,5,N/A,6,16,high,"NOV-TK:TK66-AB2->B6,C6",6/7,lo
15570477,Santa Cruz-SSS H Unit C 3H,Pursuit Oil & Gas,11.3,intermediate,2,5296.3,10564.7,5268.4,N/A,N/A,2023-09-05,8,False,False,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5340400,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"7"" ProDirectional PPM 7/8 6.9 stg",ProDirectional,PPM 7/8 6.9 stg,7,34.59,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),7/8,lo
15570477,Santa Cruz-SSS H Unit C 3H,Pursuit Oil & Gas,11.3,intermediate,3,10564,20634.06,10070.1,N/A,N/A,2023-09-07,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5337441,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,31.58,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
