equiv_bha_key,num_runs,curve_type,bin_start_ft,bin_axis,p10,p50,p90,contributing_runs,confident
6B-13mm | 6/7-mid,4,rotary,0,distance_from_run_start,90.0,150.0,210.9,3,True
6B-13mm | 6/7-mid,4,rotary,100,distance_from_run_start,96.5,136.5,229.1,2,False
6B-13mm | 6/7-mid,4,rotary,200,distance_from_run_start,102.9,138.5,247.2,4,True
6B-13mm | 6/7-mid,4,rotary,300,distance_from_run_start,102.9,138.5,247.2,4,True
6B-13mm | 6/7-mid,4,rotary,400,distance_from_run_start,131.6,138.5,251.6,4,True
6B-13mm | 6/7-mid,4,rotary,500,distance_from_run_start,137.0,156.5,276.1,4,True
6B-13mm | 6/7-mid,4,rotary,600,distance_from_run_start,159.0,175.7,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,700,distance_from_run_start,161.0,184.8,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,800,distance_from_run_start,174.0,184.8,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,900,distance_from_run_start,174.0,200.7,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,1000,distance_from_run_start,159.0,212.8,286.0,4,True
6B-13mm | 6/7-mid,4,rotary,1100,distance_from_run_start,161.1,241.1,293.1,4,True
6B-13mm | 6/7-mid,4,rotary,1200,distance_from_run_start,161.1,257.1,296.7,4,True
6B-13mm | 6/7-mid,4,rotary,1300,distance_from_run_start,161.1,267.0,296.7,4,True
6B-13mm | 6/7-mid,4,rotary,1400,distance_from_run_start,251.1,276.9,296.7,4,True
6B-13mm | 6/7-mid,4,rotary,1500,distance_from_run_start,251.1,278.6,300.0,4,True
6B-13mm | 6/7-mid,4,rotary,1600,distance_from_run_start,251.1,288.4,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,1700,distance_from_run_start,247.5,288.4,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,1800,distance_from_run_start,247.5,288.4,342.0,4,True
6B-13mm | 6/7-mid,4,rotary,1900,distance_from_run_start,247.5,313.6,350.2,4,True
6B-13mm | 6/7-mid,4,rotary,2000,distance_from_run_start,258.0,313.6,360.0,4,True
6B-13mm | 6/7-mid,4,rotary,2100,distance_from_run_start,292.0,327.3,370.0,4,True
6B-13mm | 6/7-mid,4,rotary,2200,distance_from_run_start,300.0,327.3,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2300,distance_from_run_start,304.1,327.3,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2400,distance_from_run_start,300.0,320.5,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2500,distance_from_run_start,300.0,320.5,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2600,distance_from_run_start,276.9,300.0,378.2,4,True
6B-13mm | 6/7-mid,4,rotary,2700,distance_from_run_start,270.0,300.0,363.1,4,True
6B-13mm | 6/7-mid,4,rotary,2800,distance_from_run_start,258.0,300.0,327.3,4,True
6B-13mm | 6/7-mid,4,rotary,2900,distance_from_run_start,270.0,300.0,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,3000,distance_from_run_start,270.0,300.0,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,3100,distance_from_run_start,270.0,300.0,327.3,4,True
6B-13mm | 6/7-mid,4,rotary,3200,distance_from_run_start,276.9,300.0,342.0,4,True
6B-13mm | 6/7-mid,4,rotary,3300,distance_from_run_start,283.8,300.0,342.0,4,True
6B-13mm | 6/7-mid,4,rotary,3400,distance_from_run_start,283.8,300.0,342.0,4,True
6B-13mm | 6/7-mid,4,rotary,3500,distance_from_run_start,276.9,300.0,319.1,4,True
6B-13mm | 6/7-mid,4,rotary,3600,distance_from_run_start,270.0,276.9,312.2,4,True
6B-13mm | 6/7-mid,4,rotary,3700,distance_from_run_start,263.0,276.9,300.0,4,True
6B-13mm | 6/7-mid,4,rotary,3800,distance_from_run_start,263.0,276.9,300.0,4,True
6B-13mm | 6/7-mid,4,rotary,3900,distance_from_run_start,263.0,288.4,312.2,4,True
6B-13mm | 6/7-mid,4,rotary,4000,distance_from_run_start,265.7,300.0,327.3,3,True
6B-13mm | 6/7-mid,4,rotary,4100,distance_from_run_start,265.7,300.0,339.4,3,True
6B-13mm | 6/7-mid,4,rotary,4200,distance_from_run_start,265.7,300.0,339.4,3,True
6B-13mm | 6/7-mid,4,rotary,4300,distance_from_run_start,257.1,276.9,339.4,3,True
6B-13mm | 6/7-mid,4,rotary,4400,distance_from_run_start,257.1,257.1,282.1,3,True
6B-13mm | 6/7-mid,4,rotary,4500,distance_from_run_start,247.4,257.1,276.9,3,True
6B-13mm | 6/7-mid,4,rotary,4600,distance_from_run_start,234.0,248.6,271.2,3,True
6B-13mm | 6/7-mid,4,rotary,4700,distance_from_run_start,229.7,248.6,271.2,3,True
6B-13mm | 6/7-mid,4,rotary,4800,distance_from_run_start,229.7,248.6,271.2,3,True
6B-13mm | 6/7-mid,4,rotary,4900,distance_from_run_start,229.7,248.6,271.2,3,True
6B-13mm | 6/7-mid,4,rotary,5000,distance_from_run_start,229.7,248.6,269.5,3,True
6B-13mm | 6/7-mid,4,rotary,5100,distance_from_run_start,231.4,257.1,271.2,3,True
6B-13mm | 6/7-mid,4,rotary,5200,distance_from_run_start,231.4,257.1,257.1,3,True
6B-13mm | 6/7-mid,4,rotary,5300,distance_from_run_start,228.0,240.0,253.7,3,True
6B-13mm | 6/7-mid,4,rotary,5400,distance_from_run_start,228.0,240.0,240.0,3,True
6B-13mm | 6/7-mid,4,rotary,5500,distance_from_run_start,228.0,240.0,240.0,3,True
6B-13mm | 6/7-mid,4,rotary,5600,distance_from_run_start,217.4,240.0,240.0,3,True
6B-13mm | 6/7-mid,4,rotary,5700,distance_from_run_start,217.4,240.0,240.0,3,True
6B-13mm | 6/7-mid,4,rotary,5800,distance_from_run_start,228.0,240.0,253.7,3,True
6B-13mm | 6/7-mid,4,rotary,5900,distance_from_run_start,186.4,240.0,253.7,3,True
6B-13mm | 6/7-mid,4,rotary,6000,distance_from_run_start,186.4,225.0,241.2,3,True
6B-13mm | 6/7-mid,4,rotary,6100,distance_from_run_start,211.8,240.0,272.9,3,True
6B-13mm | 6/7-mid,4,rotary,6200,distance_from_run_start,211.8,225.0,241.2,3,True
6B-13mm | 6/7-mid,4,rotary,6300,distance_from_run_start,207.1,211.8,241.2,3,True
6B-13mm | 6/7-mid,4,rotary,6400,distance_from_run_start,207.1,211.8,261.5,3,True
6B-13mm | 6/7-mid,4,rotary,6500,distance_from_run_start,184.0,200.0,261.5,3,True
6B-13mm | 6/7-mid,4,rotary,6600,distance_from_run_start,184.0,200.0,257.1,3,True
6B-13mm | 6/7-mid,4,rotary,6700,distance_from_run_start,184.0,200.0,257.1,3,True
6B-13mm | 6/7-mid,4,rotary,6800,distance_from_run_start,199.6,240.0,253.7,3,True
6B-13mm | 6/7-mid,4,rotary,6900,distance_from_run_start,199.6,240.0,242.6,3,True
6B-13mm | 6/7-mid,4,rotary,7000,distance_from_run_start,199.6,240.0,240.0,3,True
6B-13mm | 6/7-mid,4,rotary,7100,distance_from_run_start,199.6,240.0,240.0,3,True
6B-13mm | 6/7-mid,4,rotary,7200,distance_from_run_start,199.6,240.0,253.7,3,True
6B-13mm | 6/7-mid,4,rotary,7300,distance_from_run_start,202.4,240.0,253.7,3,True
6B-13mm | 6/7-mid,4,rotary,7400,distance_from_run_start,218.3,240.0,253.9,3,True
6B-13mm | 6/7-mid,4,rotary,7500,distance_from_run_start,218.3,240.0,253.9,2,False
6B-13mm | 6/7-mid,4,rotary,7600,distance_from_run_start,218.3,241.1,253.9,2,False
6B-13mm | 6/7-mid,4,rotary,7700,distance_from_run_start,225.0,241.1,253.9,2,False
6B-13mm | 6/7-mid,4,rotary,7800,distance_from_run_start,218.3,234.5,252.6,2,False
6B-13mm | 6/7-mid,4,rotary,7900,distance_from_run_start,216.3,228.6,251.4,2,False
6B-13mm | 6/7-mid,4,rotary,8000,distance_from_run_start,225.0,225.9,237.2,2,False
6B-13mm | 6/7-mid,4,rotary,8100,distance_from_run_start,216.3,225.0,225.0,2,False
6B-13mm | 6/7-mid,4,rotary,8200,distance_from_run_start,214.6,225.0,225.0,2,False
6B-13mm | 6/7-mid,4,rotary,8300,distance_from_run_start,201.2,207.2,221.4,2,False
6B-13mm | 6/7-mid,4,rotary,8400,distance_from_run_start,193.1,205.9,210.6,2,False
6B-13mm | 6/7-mid,4,rotary,8500,distance_from_run_start,190.6,194.8,198.9,2,False
6B-13mm | 6/7-mid,4,rotary,8600,distance_from_run_start,190.6,194.8,198.9,2,False
6B-13mm | 6/7-mid,4,rotary,8700,distance_from_run_start,190.6,194.8,198.9,2,False
6B-13mm | 6/7-mid,4,rotary,8800,distance_from_run_start,190.6,194.8,198.9,2,False
6B-13mm | 6/7-mid,4,rotary,8900,distance_from_run_start,190.6,195.9,208.6,2,False
6B-13mm | 6/7-mid,4,rotary,9000,distance_from_run_start,183.2,195.9,208.6,2,False
6B-13mm | 6/7-mid,4,rotary,9100,distance_from_run_start,174.3,185.7,206.3,2,False
6B-13mm | 6/7-mid,4,rotary,9200,distance_from_run_start,162.0,184.2,197.1,2,False
6B-13mm | 6/7-mid,4,rotary,9300,distance_from_run_start,162.0,184.2,206.3,2,False
6B-13mm | 6/7-mid,4,rotary,9400,distance_from_run_start,160.8,178.2,195.7,2,False
6B-13mm | 6/7-mid,4,rotary,9500,distance_from_run_start,160.8,178.2,195.7,2,False
6B-13mm | 6/7-mid,4,rotary,9600,distance_from_run_start,175.4,191.6,207.8,2,False
6B-13mm | 6/7-mid,4,rotary,9700,distance_from_run_start,175.4,191.6,208.6,2,False
6B-13mm | 6/7-mid,4,rotary,9800,distance_from_run_start,175.4,191.6,210.6,2,False
6B-13mm | 6/7-mid,4,rotary,9900,distance_from_run_start,200.0,200.0,210.6,2,False
6B-13mm | 6/7-mid,4,rotary,10000,distance_from_run_start,190.6,194.8,207.8,2,False
6B-13mm | 6/7-mid,4,rotary,10100,distance_from_run_start,200.0,200.0,210.6,2,False
6B-13mm | 6/7-mid,4,rotary,10200,distance_from_run_start,200.0,200.0,200.0,2,False
6B-13mm | 6/7-mid,4,rotary,10300,distance_from_run_start,190.6,194.8,198.9,2,False
6B-13mm | 6/7-mid,4,rotary,10400,distance_from_run_start,180.0,180.0,193.3,2,False
6B-13mm | 6/7-mid,4,rotary,10500,distance_from_run_start,171.4,171.4,180.0,2,False
6B-13mm | 6/7-mid,4,rotary,10600,distance_from_run_start,171.4,171.4,180.0,2,False
6B-13mm | 6/7-mid,4,rotary,10700,distance_from_run_start,180.0,180.0,193.3,1,False
6B-13mm | 6/7-mid,4,rotary,10800,distance_from_run_start,189.5,189.5,189.5,1,False
6B-13mm | 6/7-mid,4,rotary,10900,distance_from_run_start,189.5,189.5,189.5,1,False
6B-13mm | 6/7-mid,4,rotary,11000,distance_from_run_start,189.5,189.5,189.5,1,False
6B-13mm | 6/7-mid,4,rotary,11100,distance_from_run_start,189.5,189.5,189.5,1,False
6B-13mm | 6/7-mid,4,rotary,11200,distance_from_run_start,189.5,189.5,189.5,1,False
6B-13mm | 6/7-mid,4,rotary,11300,distance_from_run_start,189.5,189.5,189.5,1,False
6B-13mm | 6/7-mid,4,rotary,11400,distance_from_run_start,200.0,200.0,200.0,1,False
6B-13mm | 6/7-mid,4,rotary,11500,distance_from_run_start,200.0,200.0,200.0,1,False
6B-13mm | 6/7-mid,4,rotary,11600,distance_from_run_start,200.0,200.0,200.0,1,False
6B-13mm | 6/7-mid,4,rotary,11700,distance_from_run_start,200.0,200.0,200.0,1,False
6B-13mm | 6/7-mid,4,rotary,11800,distance_from_run_start,200.0,200.0,200.0,1,False
6B-13mm | 6/7-mid,4,rotary,11900,distance_from_run_start,200.0,200.0,200.0,1,False
6B-13mm | 6/7-mid,4,slide,0,distance_from_lateral_start,78.4,85.7,106.2,3,True
6B-13mm | 6/7-mid,4,slide,250,distance_from_lateral_start,75.5,81.2,106.7,3,True
6B-13mm | 6/7-mid,4,slide,500,distance_from_lateral_start,77.1,85.7,106.2,3,True
6B-13mm | 6/7-mid,4,slide,750,distance_from_lateral_start,77.1,85.7,106.2,3,True
6B-13mm | 6/7-mid,4,slide,1000,distance_from_lateral_start,67.7,76.6,107.1,3,True
6B-13mm | 6/7-mid,4,slide,1250,distance_from_lateral_start,67.4,75.0,101.9,3,True
6B-13mm | 6/7-mid,4,slide,1500,distance_from_lateral_start,67.2,75.0,94.0,3,True
6B-13mm | 6/7-mid,4,slide,1750,distance_from_lateral_start,67.1,75.0,94.0,2,False
6B-13mm | 6/7-mid,4,slide,2000,distance_from_lateral_start,66.2,75.0,98.8,2,False
6B-13mm | 6/7-mid,4,slide,2250,distance_from_lateral_start,67.1,80.5,98.8,2,False
6B-13mm | 6/7-mid,4,slide,2500,distance_from_lateral_start,66.2,80.5,98.8,3,True
6B-13mm | 6/7-mid,4,slide,2750,distance_from_lateral_start,60.6,75.0,98.8,2,False
6B-13mm | 6/7-mid,4,slide,3000,distance_from_lateral_start,60.6,75.0,208.0,3,True
6B-13mm | 6/7-mid,4,slide,3250,distance_from_lateral_start,60.6,72.7,208.0,2,False
6B-13mm | 6/7-mid,4,slide,3500,distance_from_lateral_start,60.6,72.7,179.7,2,False
6B-13mm | 6/7-mid,4,slide,3750,distance_from_lateral_start,60.6,72.7,179.7,3,True
6B-13mm | 6/7-mid,4,slide,4000,distance_from_lateral_start,55.2,67.0,179.7,2,False
6B-13mm | 6/7-mid,4,slide,4250,distance_from_lateral_start,32.5,57.1,78.8,3,True
6B-13mm | 6/7-mid,4,slide,4500,distance_from_lateral_start,32.5,57.1,67.9,2,False
6B-13mm | 6/7-mid,4,slide,4750,distance_from_lateral_start,25.1,41.2,60.6,2,False
6B-13mm | 6/7-mid,4,slide,5000,distance_from_lateral_start,21.7,35.3,45.5,2,False
6B-13mm | 6/7-mid,4,slide,5250,distance_from_lateral_start,21.7,35.3,45.5,1,False
6B-13mm | 6/7-mid,4,slide,5500,distance_from_lateral_start,21.7,30.8,46.2,2,False
6B-13mm | 6/7-mid,4,slide,6000,distance_from_lateral_start,28.0,30.8,46.2,2,False
6B-13mm | 6/7-mid,4,slide,6250,distance_from_lateral_start,35.3,35.3,46.2,3,True
6B-13mm | 6/7-mid,4,slide,6500,distance_from_lateral_start,35.3,42.4,49.0,1,False
6B-13mm | 6/7-mid,4,slide,6750,distance_from_lateral_start,35.3,50.0,240.7,1,False
6B-13mm | 6/7-mid,4,slide,7000,distance_from_lateral_start,37.0,57.6,240.7,3,True
6B-13mm | 6/7-mid,4,slide,7250,distance_from_lateral_start,35.3,50.0,200.0,3,True
6B-13mm | 6/7-mid,4,slide,7500,distance_from_lateral_start,30.6,50.0,200.0,1,False
6B-13mm | 6/7-mid,4,slide,7750,distance_from_lateral_start,30.6,42.4,63.8,3,True
6B-13mm | 6/7-mid,4,slide,8000,distance_from_lateral_start,28.6,32.1,48.7,3,True
6B-13mm | 6/7-mid,4,slide,8250,distance_from_lateral_start,21.6,31.1,44.1,2,False
6B-13mm | 6/7-mid,4,slide,8500,distance_from_lateral_start,21.6,32.1,42.4,1,False
6B-13mm | 6/7-mid,4,slide,8750,distance_from_lateral_start,21.0,21.6,21.6,1,False
6B-13mm | 6/7-mid,4,slide,9000,distance_from_lateral_start,20.3,21.6,21.6,1,False
6B-13mm | 6/7-mid,4,slide,9250,distance_from_lateral_start,20.3,23.3,26.3,1,False
6B-13mm | 6/7-mid,4,slide,9500,distance_from_lateral_start,20.3,28.7,37.4,2,False
6B-13mm | 6/7-mid,4,slide,9750,distance_from_lateral_start,20.3,28.7,37.4,3,True
6B-13mm | 6/7-mid,4,slide,10000,distance_from_lateral_start,20.4,28.7,37.4,2,False
6B-13mm | 6/7-mid,4,slide,10250,distance_from_lateral_start,20.4,28.7,37.4,2,False
6B-13mm | 6/7-mid,4,slide,10500,distance_from_lateral_start,37.7,40.5,40.5,2,False
6B-13mm | 6/7-mid,4,slide,10750,distance_from_lateral_start,38.9,40.5,40.5,1,False
6B-13mm | 6/7-mid,4,slide,11000,distance_from_lateral_start,30.4,33.7,37.0,1,False
6B-13mm | 6/7-mid,4,slide,11250,distance_from_lateral_start,40.5,40.5,40.5,1,False
6B-13mm | 5/6-mid,17,rotary,0,distance_from_run_start,89.7,156.5,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,100,distance_from_run_start,88.7,184.2,380.0,15,True
6B-13mm | 5/6-mid,17,rotary,200,distance_from_run_start,89.7,156.5,400.0,12,True
6B-13mm | 5/6-mid,17,rotary,300,distance_from_run_start,107.2,168.2,430.0,15,True
6B-13mm | 5/6-mid,17,rotary,400,distance_from_run_start,107.2,180.0,430.0,15,True
6B-13mm | 5/6-mid,17,rotary,500,distance_from_run_start,107.2,180.0,430.0,14,True
6B-13mm | 5/6-mid,17,rotary,600,distance_from_run_start,111.2,180.0,425.0,15,True
6B-13mm | 5/6-mid,17,rotary,700,distance_from_run_start,116.6,180.0,414.0,16,True
6B-13mm | 5/6-mid,17,rotary,800,distance_from_run_start,128.6,180.0,400.0,15,True
6B-13mm | 5/6-mid,17,rotary,900,distance_from_run_start,147.8,240.0,400.0,14,True
6B-13mm | 5/6-mid,17,rotary,1000,distance_from_run_start,150.0,257.1,388.0,17,True
6B-13mm | 5/6-mid,17,rotary,1100,distance_from_run_start,165.4,257.1,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1200,distance_from_run_start,176.3,257.1,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1300,distance_from_run_start,189.5,257.1,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1400,distance_from_run_start,189.5,257.1,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,1500,distance_from_run_start,189.5,257.1,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,1600,distance_from_run_start,189.5,257.1,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1700,distance_from_run_start,189.5,276.9,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,1800,distance_from_run_start,197.6,276.9,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1900,distance_from_run_start,202.9,276.9,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2000,distance_from_run_start,202.9,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2100,distance_from_run_start,211.8,300.0,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,2200,distance_from_run_start,211.8,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2300,distance_from_run_start,211.8,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2400,distance_from_run_start,211.8,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2500,distance_from_run_start,211.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2600,distance_from_run_start,211.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2700,distance_from_run_start,195.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2800,distance_from_run_start,195.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2900,distance_from_run_start,195.8,300.0,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,3000,distance_from_run_start,199.1,300.0,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,3100,distance_from_run_start,207.1,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3200,distance_from_run_start,207.1,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3300,distance_from_run_start,202.9,313.6,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3400,distance_from_run_start,207.1,313.6,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3500,distance_from_run_start,207.2,320.5,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3600,distance_from_run_start,207.2,313.6,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3700,distance_from_run_start,218.4,302.1,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3800,distance_from_run_start,218.4,288.4,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3900,distance_from_run_start,218.4,276.9,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,4000,distance_from_run_start,200.7,276.9,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,4100,distance_from_run_start,200.7,276.9,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,4200,distance_from_run_start,200.7,276.9,380.0,16,True
6B-13mm | 5/6-mid,17,rotary,4300,distance_from_run_start,211.8,276.9,380.0,16,True
6B-13mm | 5/6-mid,17,rotary,4400,distance_from_run_start,211.8,288.4,360.0,16,True
6B-13mm | 5/6-mid,17,rotary,4500,distance_from_run_start,211.8,288.4,360.0,16,True
6B-13mm | 5/6-mid,17,rotary,4600,distance_from_run_start,210.0,288.4,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,4700,distance_from_run_start,198.0,288.4,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,4800,distance_from_run_start,183.8,276.9,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,4900,distance_from_run_start,183.8,270.0,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,5000,distance_from_run_start,183.8,257.1,350.2,15,True
6B-13mm | 5/6-mid,17,rotary,5100,distance_from_run_start,203.5,257.1,350.2,14,True
6B-13mm | 5/6-mid,17,rotary,5200,distance_from_run_start,203.5,257.1,350.2,14,True
6B-13mm | 5/6-mid,17,rotary,5300,distance_from_run_start,203.5,270.0,353.5,13,True
6B-13mm | 5/6-mid,17,rotary,5400,distance_from_run_start,203.5,292.2,356.7,12,True
6B-13mm | 5/6-mid,17,rotary,5500,distance_from_run_start,200.0,300.0,360.0,11,True
6B-13mm | 5/6-mid,17,rotary,5600,distance_from_run_start,181.9,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,5700,distance_from_run_start,181.9,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,5800,distance_from_run_start,181.9,283.6,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,5900,distance_from_run_start,193.1,283.6,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6000,distance_from_run_start,193.1,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,6100,distance_from_run_start,193.1,283.6,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,6200,distance_from_run_start,193.1,288.4,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6300,distance_from_run_start,193.1,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6400,distance_from_run_start,191.7,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6500,distance_from_run_start,184.5,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6600,distance_from_run_start,193.1,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6700,distance_from_run_start,194.6,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6800,distance_from_run_start,196.6,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,6900,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7000,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7100,distance_from_run_start,205.0,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7200,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7300,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7400,distance_from_run_start,200.0,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7500,distance_from_run_start,189.5,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7600,distance_from_run_start,189.5,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7700,distance_from_run_start,185.2,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7800,distance_from_run_start,175.0,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7900,distance_from_run_start,173.1,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8000,distance_from_run_start,171.4,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8100,distance_from_run_start,170.9,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8200,distance_from_run_start,165.2,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8300,distance_from_run_start,170.9,267.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8400,distance_from_run_start,165.2,257.1,356.7,13,True
6B-13mm | 5/6-mid,17,rotary,8500,distance_from_run_start,167.6,257.1,353.5,12,True
6B-13mm | 5/6-mid,17,rotary,8600,distance_from_run_start,142.9,257.1,333.8,11,True
6B-13mm | 5/6-mid,17,rotary,8700,distance_from_run_start,154.0,257.1,333.8,10,True
6B-13mm | 5/6-mid,17,rotary,8800,distance_from_run_start,154.0,257.1,333.8,9,True
6B-13mm | 5/6-mid,17,rotary,8900,distance_from_run_start,160.9,276.9,333.8,9,True
6B-13mm | 5/6-mid,17,rotary,9000,distance_from_run_start,154.0,276.9,333.8,9,True
6B-13mm | 5/6-mid,17,rotary,9100,distance_from_run_start,154.0,276.9,333.8,8,True
6B-13mm | 5/6-mid,17,rotary,9200,distance_from_run_start,154.5,276.9,333.8,8,True
6B-13mm | 5/6-mid,17,rotary,9300,distance_from_run_start,154.5,288.4,337.1,8,True
6B-13mm | 5/6-mid,17,rotary,9400,distance_from_run_start,147.6,300.0,337.1,8,True
6B-13mm | 5/6-mid,17,rotary,9500,distance_from_run_start,154.5,300.0,337.1,7,True
6B-13mm | 5/6-mid,17,rotary,9600,distance_from_run_start,154.5,300.0,337.1,7,True
6B-13mm | 5/6-mid,17,rotary,9700,distance_from_run_start,153.0,300.0,340.4,7,True
6B-13mm | 5/6-mid,17,rotary,9800,distance_from_run_start,147.6,300.0,340.4,7,True
